2011-07-11 03:52:34 Debug: Notice (8): Use of undefined constant DOMINIO - assumed 'DOMINIO' in [C:\xampp\htdocs\celuworld\cms\controllers\fotos_controller.php, line 101]
2011-07-11 03:53:10 Debug: Notice (8): Use of undefined constant DOMINIO - assumed 'DOMINIO' in [C:\xampp\htdocs\celuworld\cms\controllers\fotos_controller.php, line 100]
2011-07-11 03:53:10 Debug: Notice (8): Use of undefined constant DOMINIO - assumed 'DOMINIO' in [C:\xampp\htdocs\celuworld\cms\controllers\fotos_controller.php, line 101]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 21]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 22]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Marca in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 24]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 26]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 27]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 29]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 30]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 31]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 32]
2011-07-13 00:56:16 Notice: Notice (8): Undefined index:  Celular in [/home/talamanc/public_html/desarrollo/celuworld/cms/views/celulares/index.ctp, line 33]
